Index,Model,ROUGE-1,ROUGE-L,BERTScore,Summary,Transcript
1,TF-IDF,0.546511628,0.360465116,0.92981559,"Participants noted that, on a 12-month basis, core goods price inflation declined as supply chains continued to improve, but the pace of the decline had slowed, highlighting the still uncertain nature of the disinflationary process. In particular, they noted that revisions to the price data had indicated less disinflation at the end of last year than had been previously reported and that inflation was still quite elevated. Participants expected that housing services inflation would likely begin to slow in coming months, reflecting continued smaller increases, or potentially declines, in rents on new leases.","With inflation still well above the Committee's longer-run goal of 2 percent, participants agreed that inflation was unacceptably high. Participants commented that recent inflation data indicated slower-than-expected progress on disinflation. In particular, they noted that revisions to the price data had indicated less disinflation at the end of last year than had been previously reported and that inflation was still quite elevated. Participants noted that, on a 12-month basis, core goods price inflation declined as supply chains continued to improve, but the pace of the decline had slowed, highlighting the still uncertain nature of the disinflationary process. Participants expected that housing services inflation would likely begin to slow in coming months, reflecting continued smaller increases, or potentially declines, in rents on new leases. Regarding prices for core services excluding housing, participants agreed that there was little evidence pointing to disinflation in this component. Participants generally judged that some more easing in labor market tightness and slowing in nominal wage growth would be necessary for sustained disinflation. Additionally, participants observed that indicators of short-term inflation expectations from surveys of households and businesses had come down further, while longer-term inflation expectations remained well anchored. Participants also discussed the potential effect on inflation of the developments in the banking sector. They noted that a tightening of credit conditions was likely to weigh on aggregate demand, which in turn could help reduce inflationary pressures. However, participants observed that the size of such an effect was highly uncertain."
1,BERT,0.299319728,0.231292517,0.891510963," Recent inflation data indicated slower-than-expected progress on disinflation . With inflation still well above Committee's longer-run goal of 2 percent, participants agreed that inflation was unacceptably high . Participants expected that housing services inflation would likely begin to slow in coming months .","With inflation still well above the Committee's longer-run goal of 2 percent, participants agreed that inflation was unacceptably high. Participants commented that recent inflation data indicated slower-than-expected progress on disinflation. In particular, they noted that revisions to the price data had indicated less disinflation at the end of last year than had been previously reported and that inflation was still quite elevated. Participants noted that, on a 12-month basis, core goods price inflation declined as supply chains continued to improve, but the pace of the decline had slowed, highlighting the still uncertain nature of the disinflationary process. Participants expected that housing services inflation would likely begin to slow in coming months, reflecting continued smaller increases, or potentially declines, in rents on new leases. Regarding prices for core services excluding housing, participants agreed that there was little evidence pointing to disinflation in this component. Participants generally judged that some more easing in labor market tightness and slowing in nominal wage growth would be necessary for sustained disinflation. Additionally, participants observed that indicators of short-term inflation expectations from surveys of households and businesses had come down further, while longer-term inflation expectations remained well anchored. Participants also discussed the potential effect on inflation of the developments in the banking sector. They noted that a tightening of credit conditions was likely to weigh on aggregate demand, which in turn could help reduce inflationary pressures. However, participants observed that the size of such an effect was highly uncertain."
1,BART,0.376623377,0.376623377,0.907437503,"With inflation still well above the Committee's longer-run goal of 2 percent, participants agreed that inflation was unacceptably high. Participants expected that housing services inflation would likely begin to slow in coming months. They noted that a tightening of credit conditions was likely to weigh on aggregate demand, which in turn could help reduce inflationary pressures.","With inflation still well above the Committee's longer-run goal of 2 percent, participants agreed that inflation was unacceptably high. Participants commented that recent inflation data indicated slower-than-expected progress on disinflation. In particular, they noted that revisions to the price data had indicated less disinflation at the end of last year than had been previously reported and that inflation was still quite elevated. Participants noted that, on a 12-month basis, core goods price inflation declined as supply chains continued to improve, but the pace of the decline had slowed, highlighting the still uncertain nature of the disinflationary process. Participants expected that housing services inflation would likely begin to slow in coming months, reflecting continued smaller increases, or potentially declines, in rents on new leases. Regarding prices for core services excluding housing, participants agreed that there was little evidence pointing to disinflation in this component. Participants generally judged that some more easing in labor market tightness and slowing in nominal wage growth would be necessary for sustained disinflation. Additionally, participants observed that indicators of short-term inflation expectations from surveys of households and businesses had come down further, while longer-term inflation expectations remained well anchored. Participants also discussed the potential effect on inflation of the developments in the banking sector. They noted that a tightening of credit conditions was likely to weigh on aggregate demand, which in turn could help reduce inflationary pressures. However, participants observed that the size of such an effect was highly uncertain."
2,TF-IDF,0.714801444,0.44765343,0.938254714,"As a source of downside risk to inflation, participants noted that if banks reduce the supply of credit by more than expected, the likely restraint on economic activity and hiring could put additional downward pressure on inflation. Participants generally observed that the recent developments in the banking sector had further increased the already-high level of uncertainty associated with their outlooks for economic activity, the labor market, and inflation. As a source of downside risk to activity, they noted the possibility that banks would reduce the supply of credit by more than expected, which could restrain economic activity significantly.","Participants generally observed that the recent developments in the banking sector had further increased the already-high level of uncertainty associated with their outlooks for economic activity, the labor market, and inflation. Participants saw risks to economic activity as weighted to the downside. As a source of downside risk to activity, they noted the possibility that banks would reduce the supply of credit by more than expected, which could restrain economic activity significantly. Participants mentioned potential intensification of Russia's war against Ukraine as an additional source of downside risk to the economic outlook. Participants generally saw risks to inflation as weighted to the upside, though they also recognized some downside risks to inflation. As a source of upside risk to inflation, participants cited the possibility of more-persistent-than-anticipated price pressures, due to, for example, surprisingly resilient labor demand. As a source of downside risk to inflation, participants noted that if banks reduce the supply of credit by more than expected, the likely restraint on economic activity and hiring could put additional downward pressure on inflation."
2,BERT,0.465517241,0.465517241,0.926958621," Participants generally observed that the recent developments in the banking sector had further increased the already-high level of uncertainty associated with their outlooks for economic activity, the labor market, and inflation . Participants noted the possibility that banks would reduce the supply of credit by more than expected, which could restrain economic activity significantly .","Participants generally observed that the recent developments in the banking sector had further increased the already-high level of uncertainty associated with their outlooks for economic activity, the labor market, and inflation. Participants saw risks to economic activity as weighted to the downside. As a source of downside risk to activity, they noted the possibility that banks would reduce the supply of credit by more than expected, which could restrain economic activity significantly. Participants mentioned potential intensification of Russia's war against Ukraine as an additional source of downside risk to the economic outlook. Participants generally saw risks to inflation as weighted to the upside, though they also recognized some downside risks to inflation. As a source of upside risk to inflation, participants cited the possibility of more-persistent-than-anticipated price pressures, due to, for example, surprisingly resilient labor demand. As a source of downside risk to inflation, participants noted that if banks reduce the supply of credit by more than expected, the likely restraint on economic activity and hiring could put additional downward pressure on inflation."
2,BART,0.516666667,0.516666667,0.936193109,"Participants generally observed that the recent developments in the banking sector had further increased the already-high level of uncertainty associated with their outlooks for economic activity, the labor market, and inflation. Participants saw risks to economic activity as weighted to the downside. As a source of upside risk to inflation, participants cited the possibility of more-persistent-than-anticipated price pressures.","Participants generally observed that the recent developments in the banking sector had further increased the already-high level of uncertainty associated with their outlooks for economic activity, the labor market, and inflation. Participants saw risks to economic activity as weighted to the downside. As a source of downside risk to activity, they noted the possibility that banks would reduce the supply of credit by more than expected, which could restrain economic activity significantly. Participants mentioned potential intensification of Russia's war against Ukraine as an additional source of downside risk to the economic outlook. Participants generally saw risks to inflation as weighted to the upside, though they also recognized some downside risks to inflation. As a source of upside risk to inflation, participants cited the possibility of more-persistent-than-anticipated price pressures, due to, for example, surprisingly resilient labor demand. As a source of downside risk to inflation, participants noted that if banks reduce the supply of credit by more than expected, the likely restraint on economic activity and hiring could put additional downward pressure on inflation."
3,TF-IDF,0.896551724,0.896551724,0.978113115,"In their consideration of appropriate monetary policy actions at this meeting, participants concurred that inflation remained well above the Committee's longer-run goal of 2 percent and that the recent data on inflation provided few signs that inflation pressures were abating at a pace sufficient to return inflation to 2 percent over time. Participants also noted that recent developments in the banking sector would likely result in tighter credit conditions for households and businesses and weigh on economic activity, hiring, and inflation, though the extent of these effects was highly uncertain. All participants also agreed that it was appropriate to continue the process of reducing the Federal Reserve's securities holdings, as described in its previously announced Plans for Reducing the Size of the Federal Reserve's Balance Sheet.","In their consideration of appropriate monetary policy actions at this meeting, participants concurred that inflation remained well above the Committee's longer-run goal of 2 percent and that the recent data on inflation provided few signs that inflation pressures were abating at a pace sufficient to return inflation to 2 percent over time. Participants also noted that recent developments in the banking sector would likely result in tighter credit conditions for households and businesses and weigh on economic activity, hiring, and inflation, though the extent of these effects was highly uncertain. Against this backdrop, all participants agreed that it was appropriate to raise the target range for the federal funds rate 25 basis points to 4-3/4 to 5 percent. All participants also agreed that it was appropriate to continue the process of reducing the Federal Reserve's securities holdings, as described in its previously announced Plans for Reducing the Size of the Federal Reserve's Balance Sheet."
3,BERT,0.490566038,0.490566038,0.898935258, Inflation remains well above Committee's longer-run goal of 2 percent . Recent data on inflation provided few signs inflation pressures were abating at a pace sufficient to return inflation to 2 percent over time . Recent developments in the banking sector would likely result in tighter credit conditions for households and businesses .,"In their consideration of appropriate monetary policy actions at this meeting, participants concurred that inflation remained well above the Committee's longer-run goal of 2 percent and that the recent data on inflation provided few signs that inflation pressures were abating at a pace sufficient to return inflation to 2 percent over time. Participants also noted that recent developments in the banking sector would likely result in tighter credit conditions for households and businesses and weigh on economic activity, hiring, and inflation, though the extent of these effects was highly uncertain. Against this backdrop, all participants agreed that it was appropriate to raise the target range for the federal funds rate 25 basis points to 4-3/4 to 5 percent. All participants also agreed that it was appropriate to continue the process of reducing the Federal Reserve's securities holdings, as described in its previously announced Plans for Reducing the Size of the Federal Reserve's Balance Sheet."
3,BART,0.504672897,0.504672897,0.914209247,Inflation remained well above the Committee's longer-run goal of 2 percent. Recent data on inflation provided few signs that inflation pressures were abating at a pace sufficient to return inflation to 2 percent over time. Recent developments in the banking sector would likely result in tighter credit conditions for households and businesses.,"In their consideration of appropriate monetary policy actions at this meeting, participants concurred that inflation remained well above the Committee's longer-run goal of 2 percent and that the recent data on inflation provided few signs that inflation pressures were abating at a pace sufficient to return inflation to 2 percent over time. Participants also noted that recent developments in the banking sector would likely result in tighter credit conditions for households and businesses and weigh on economic activity, hiring, and inflation, though the extent of these effects was highly uncertain. Against this backdrop, all participants agreed that it was appropriate to raise the target range for the federal funds rate 25 basis points to 4-3/4 to 5 percent. All participants also agreed that it was appropriate to continue the process of reducing the Federal Reserve's securities holdings, as described in its previously announced Plans for Reducing the Size of the Federal Reserve's Balance Sheet."
4,TF-IDF,0.875536481,0.669527897,0.957210183,"However, these participants also observed that the actions taken by the Federal Reserve in coordination with other government agencies helped calm conditions in the banking sector and lessen the near-term risks to economic activity and inflation. Consequently, these participants judged it appropriate to increase the target range 25 basis points because of elevated inflation, the strength of the recent economic data, and their commitment to bring inflation down to the Committee's 2 percent longer-run goal. Several participants noted that, in their policy deliberations, they considered whether it would be appropriate to hold the target range steady at this meeting.","Several participants noted that, in their policy deliberations, they considered whether it would be appropriate to hold the target range steady at this meeting. They noted that doing so would allow more time to assess the financial and economic effects of recent banking-sector developments and of the cumulative tightening of monetary policy. However, these participants also observed that the actions taken by the Federal Reserve in coordination with other government agencies helped calm conditions in the banking sector and lessen the near-term risks to economic activity and inflation. Consequently, these participants judged it appropriate to increase the target range 25 basis points because of elevated inflation, the strength of the recent economic data, and their commitment to bring inflation down to the Committee's 2 percent longer-run goal."
